country,onset,type,max_risk,threshold,detected
Russia,2000,backsliding,0.015937535025364925,0.0925167141959582,False
Russia,2000,backsliding,0.015937535025364925,0.0996095539294151,False
Russia,2000,backsliding,0.015937535025364925,0.10670239366287201,False
Russia,2000,backsliding,0.015937535025364925,0.11379523339632891,False
Russia,2000,backsliding,0.015937535025364925,0.12088807312978582,False
Russia,2000,backsliding,0.015937535025364925,0.12798091286324273,False
Russia,2000,backsliding,0.015937535025364925,0.13507375259669965,False
Russia,2000,backsliding,0.015937535025364925,0.14216659233015655,False
Russia,2000,backsliding,0.015937535025364925,0.14925943206361345,False
Serbia,2012,backsliding,0.28083893055863074,0.01449547712793223,True
Serbia,2012,backsliding,0.28083893055863074,0.021588316861389137,True
Serbia,2012,backsliding,0.28083893055863074,0.028681156594846043,True
Serbia,2012,backsliding,0.28083893055863074,0.03577399632830295,True
Serbia,2012,backsliding,0.28083893055863074,0.04286683606175985,True
Serbia,2012,backsliding,0.28083893055863074,0.04995967579521676,True
Serbia,2012,backsliding,0.28083893055863074,0.05705251552867367,True
Serbia,2012,backsliding,0.28083893055863074,0.06414535526213057,True
Serbia,2012,backsliding,0.28083893055863074,0.07123819499558748,True
Serbia,2012,backsliding,0.28083893055863074,0.07833103472904439,True
Serbia,2012,backsliding,0.28083893055863074,0.0854238744625013,True
Serbia,2012,backsliding,0.28083893055863074,0.0925167141959582,True
Serbia,2012,backsliding,0.28083893055863074,0.0996095539294151,True
Serbia,2012,backsliding,0.28083893055863074,0.10670239366287201,True
Serbia,2012,backsliding,0.28083893055863074,0.11379523339632891,True
Serbia,2012,backsliding,0.28083893055863074,0.12088807312978582,True
Serbia,2012,backsliding,0.28083893055863074,0.12798091286324273,True
Serbia,2012,backsliding,0.28083893055863074,0.13507375259669965,True
Serbia,2012,backsliding,0.28083893055863074,0.14216659233015655,True
Serbia,2012,backsliding,0.28083893055863074,0.14925943206361345,True
Bangladesh,2009,backsliding,0.17102900648687683,0.01449547712793223,True
Bangladesh,2009,backsliding,0.17102900648687683,0.021588316861389137,True
Bangladesh,2009,backsliding,0.17102900648687683,0.028681156594846043,True
Bangladesh,2009,backsliding,0.17102900648687683,0.03577399632830295,True
Bangladesh,2009,backsliding,0.17102900648687683,0.04286683606175985,True
Bangladesh,2009,backsliding,0.17102900648687683,0.04995967579521676,True
Bangladesh,2009,backsliding,0.17102900648687683,0.05705251552867367,True
Bangladesh,2009,backsliding,0.17102900648687683,0.06414535526213057,True
Bangladesh,2009,backsliding,0.17102900648687683,0.07123819499558748,True
Bangladesh,2009,backsliding,0.17102900648687683,0.07833103472904439,True
Bangladesh,2009,backsliding,0.17102900648687683,0.0854238744625013,True
Bangladesh,2009,backsliding,0.17102900648687683,0.0925167141959582,True
Bangladesh,2009,backsliding,0.17102900648687683,0.0996095539294151,True
Bangladesh,2009,backsliding,0.17102900648687683,0.10670239366287201,True
Bangladesh,2009,backsliding,0.17102900648687683,0.11379523339632891,True
Bangladesh,2009,backsliding,0.17102900648687683,0.12088807312978582,True
Bangladesh,2009,backsliding,0.17102900648687683,0.12798091286324273,True
Bangladesh,2009,backsliding,0.17102900648687683,0.13507375259669965,True
Bangladesh,2009,backsliding,0.17102900648687683,0.14216659233015655,True
Bangladesh,2009,backsliding,0.17102900648687683,0.14925943206361345,True
Thailand,2014,coup,0.24614723087693735,0.01449547712793223,True
Thailand,2014,coup,0.24614723087693735,0.021588316861389137,True
Thailand,2014,coup,0.24614723087693735,0.028681156594846043,True
Thailand,2014,coup,0.24614723087693735,0.03577399632830295,True
Thailand,2014,coup,0.24614723087693735,0.04286683606175985,True
Thailand,2014,coup,0.24614723087693735,0.04995967579521676,True
Thailand,2014,coup,0.24614723087693735,0.05705251552867367,True
