country_name,country_text_id,year,risk_score,csd_index,polyarchy_at_alert,polyarchy_change_5yr,fp_type,is_stable_democracy,region_code
Sweden,SWE,2014,0.033938100711702106,2.7531848728321076,0.915,-0.016000000000000014,stable_democracy_fp,True,SW
Sweden,SWE,2022,0.03473629996908058,2.4009117206650252,0.892,-0.01100000000000001,stable_democracy_fp,True,SW
Switzerland,CHE,2015,0.03000614450077422,3.3012373488069864,0.903,-0.0010000000000000009,stable_democracy_fp,True,CH
Switzerland,CHE,2019,0.04390230183680482,3.0062790413907132,0.902,-0.020000000000000018,stable_democracy_fp,True,CH
Taiwan,TWN,2024,0.03392795291393175,3.4590001364852916,0.804,-0.0030000000000000027,true_fp,False,TW
Tanzania,TZA,2015,0.03182622076117335,3.5877996695633527,0.453,-0.07,near_miss,False,TZ
Tanzania,TZA,2019,0.03902821713635703,3.5369420083446323,0.383,-0.017000000000000015,true_fp,False,TZ
Tanzania,TZA,2020,0.03787846188546602,3.794167233369295,0.383,-0.018000000000000016,true_fp,False,TZ
Tanzania,TZA,2025,0.03091360408024666,3.2695102149999435,0.365,0.0,true_fp,False,TZ
Thailand,THA,2006,0.03132034145964142,2.331543275627026,0.227,-0.04600000000000001,true_fp,False,TH
Thailand,THA,2007,0.07641753267208572,3.663607267951779,0.181,0.0,true_fp,False,TH
Thailand,THA,2008,0.0319007329970398,3.1907384074840914,0.402,0.0,true_fp,False,TH
Thailand,THA,2022,0.04687824920744188,3.780879618588249,0.216,0.0,true_fp,False,TH
Thailand,THA,2023,0.03810136031485335,3.681242039680382,0.295,0.0,true_fp,False,TH
Togo,TGO,2024,0.07064196372275379,3.6042673355087387,0.35,0.0,true_fp,False,TG
Tunisia,TUN,2014,0.030127462231774156,4.355253145533743,0.745,-0.020000000000000018,true_fp,False,TU
Tunisia,TUN,2023,0.0367357915893275,3.270515845010835,0.432,-0.03699999999999998,true_fp,False,TU
Tunisia,TUN,2024,0.032440756973493905,3.5457460838997634,0.422,-0.02699999999999997,true_fp,False,TU
Türkiye,TUR,2007,0.25075587393148757,5.03461950000895,0.616,-0.10799999999999998,near_miss,False,TU
Türkiye,TUR,2014,0.11471477289756231,3.4347123053335005,0.426,-0.137,near_miss,False,TU
Türkiye,TUR,2015,0.07989804844333932,3.0465349566084403,0.388,-0.09900000000000003,near_miss,False,TU
Türkiye,TUR,2016,0.03638540168432266,4.806436249755917,0.308,-0.02100000000000002,true_fp,False,TU
Ukraine,UKR,2018,0.04287527998064349,3.3576342914814155,0.43,-0.03999999999999998,true_fp,False,UK
Ukraine,UKR,2024,0.03118738151379523,3.084525199485237,0.387,-0.0010000000000000009,true_fp,False,UK
Uruguay,URY,2023,0.03927831073309829,1.6496411114968097,0.833,0.0,stable_democracy_fp,True,UR
Vietnam,VNM,2010,0.03516647353043451,4.885377602847627,0.149,-0.0020000000000000018,true_fp,False,VN
Vietnam,VNM,2011,0.13518002327831144,4.867888518527178,0.149,-0.0020000000000000018,true_fp,False,VN
Vietnam,VNM,2013,0.0448865218063502,4.987038504064946,0.147,0.0,true_fp,False,VN
Vietnam,VNM,2020,0.06221236278348796,4.766941035035978,0.211,-0.065,near_miss,False,VN
Vietnam,VNM,2021,0.15407504524612803,4.465182121299842,0.169,-0.02300000000000002,true_fp,False,VN
Vietnam,VNM,2025,0.0308918542257213,4.553404121999259,0.146,0.0,true_fp,False,VN
Zambia,ZMB,2015,0.030948368826017834,3.3459415315792937,0.458,-0.10500000000000004,near_miss,False,ZM
Zambia,ZMB,2016,0.07265551920825555,5.509040065329538,0.397,-0.04400000000000004,true_fp,False,ZM
Zambia,ZMB,2017,0.03984729790131213,4.70633955526818,0.36,-0.007000000000000006,true_fp,False,ZM
Zambia,ZMB,2020,0.04935466660567253,4.770693213006477,0.353,0.0,true_fp,False,ZM
Zambia,ZMB,2021,0.077563385879428,4.717871940698026,0.421,0.0,true_fp,False,ZM
