country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_full_4,nscm_resid_domestic_4
BIH,1991,-0.001209613,-0.008576513,-0.045663394,-0.052034587,-0.3372643,-0.4174693,-0.4288044,-0.2685197,-0.18705831,-0.25339994
BLR,1991,-0.00676779,-0.14659987,-0.010464848,-0.031821467,-0.6458988,-0.53160393,0.6927208,0.8386065,-0.029589357,-0.1285813
BOL,1991,-0.002680429,-0.0076424787,-0.0079788435,-0.005415945,0.12976176,0.09407717,-0.111519344,-0.057211053,-0.007583016,-0.023807593
BRA,1991,-0.07868956,-0.14918263,-0.061421588,-0.043273926,0.21563494,0.22205102,-0.07357184,-0.021533463,-0.001951969,-0.008061086
BTN,1991,-5.3413285e-05,-3.7168706e-05,-0.012148023,-0.020397846,-0.00033191373,-0.00026165822,-0.39551765,-0.3491969,0.40805107,0.36989355
BWA,1991,-0.014426438,-0.25312173,-0.05089868,-0.08862419,0.28005326,0.51452905,-0.19811203,-0.10308845,-0.0166161,-0.069694705
CAF,1991,-2.7403748e-05,-5.6313806e-05,-0.0028376558,-0.00303795,-0.025035959,-0.072471134,0.20210159,0.47314346,-0.17420055,-0.3975781
CAN,1991,0.12645185,0.090688884,-0.08866001,-0.045501076,-0.021547826,-0.037616212,-0.015768377,-0.0047359774,-0.0004756842,-0.0028355552
CHE,1991,-0.00023103111,-3.9048435e-05,0.0020149946,0.0039457083,-6.561816e-06,-7.4607766e-07,-0.0013106359,-0.0037741542,-0.00046672972,-0.00013180544
CHL,1991,-0.30020228,-0.24825674,0.48599797,0.55869985,-0.07381378,-0.14489213,-0.10940834,-0.12999229,-0.0025735984,-0.0355587
CIV,1991,-0.0003502885,-0.0013093764,-0.0061558424,-0.0068281265,0.6260029,0.47484714,-0.5377375,-0.2830538,-0.08175932,-0.1836558
CMR,1991,-4.1959313e-05,-0.00015028399,-0.0013777538,-0.001443583,-0.20740044,-0.45566398,0.3029847,0.68301195,-0.09416459,-0.225754
COD,1991,-4.2604424e-06,-4.8739666e-06,-0.00082478795,-0.00073297997,-0.0040132296,-0.017997451,0.18412763,0.5049995,-0.17928535,-0.4862643
COL,1991,-0.004892911,-0.004826258,-0.36955178,-0.23423982,-0.28720388,-0.44468147,0.68932056,0.77479357,-0.027672006,-0.091045976
CRI,1991,0.23562223,0.4582644,-0.11366093,-0.1490135,-0.10901614,-0.28762183,-0.012468215,-0.012671004,-0.0004769466,-0.008958069
CYP,1991,-0.0228775,-0.2693279,-0.042349394,-0.06254931,0.3677228,0.40397143,-0.29056418,-0.045803767,-0.011931763,-0.026290443
