indicator,factor_1,factor_2,factor_3,factor_4
v2elaccept,0.6565109698671888,0.3468470763064377,-0.12809677117064353,0.009171434607767377
v2elasmoff,0.3427094031081422,0.28715000717608097,0.20468335048531736,0.036700010713006735
v2elrsthos,0.1432932115015156,0.13855033410544984,-0.11120883748911746,-0.030353413815441703
v2elprescons,0.263571644754522,-0.1853451580615646,0.3554393096075673,0.34550344783126163
v2elprescumul,0.268441807318154,-0.3119131753780379,0.2600675673016575,0.4276659481142515
v2ellocons,0.4931139851587848,0.4331715148845325,0.0811696042065049,0.036299596219105994
v2ellocumul,0.5544976106246249,0.33679047423207525,0.08368731717096342,0.12543559009328087
v2elreggov,-0.08260597769214101,-0.09378631122056609,0.07259010548439401,0.12468185368144971
v2ellocgov,0.09520654073350095,0.029469571388981965,0.1752513953666589,0.022039058619317327
v2ellocelc,0.5406350189525937,0.14874952916632417,0.2479580405602838,-0.03461681986708294
v2ellocpwr,0.6768512661771235,0.2731675191121309,0.07943987836892787,0.08770264326998148
v2elffelr,0.7827813660321284,0.3561023900344965,-0.09547632323027014,0.01793104907476322
v2elffelrbin,0.3735281958773413,0.1179433351885725,0.20850388975575493,-0.01987337257098673
v2elsnlsff,0.1461371157762994,0.6698350449441774,0.0067518579504348974,0.05999381407481312
v2psbars,0.896592785168454,0.028513120131113123,0.16502055032365479,-0.018655935616586662
v2psparban,0.8525577462359375,-0.08669131221162085,0.16866318182135864,0.030789445841910106
v2psoppaut,0.8907126190451667,0.089616422723229,0.06747285168942953,0.028849224399245844
v2psorgs,0.5926300844951893,0.383600633080622,0.2530186653308342,-0.05498857435196365
v2psprbrch,0.46319550951043303,0.45707387098524876,0.26076778206947193,-0.008907517293794243
v2psprlnks,0.41824703165718186,0.6357501422974894,-0.017672766785433128,-0.03394045825347217
v2psplats,0.6799327272061414,0.42013331263624487,0.16160884302734657,-0.01610308980437536
v2pscnslnl,0.5970353801595736,0.18549370067068013,-0.03105367221042523,0.06809586953951063
v2pscohesv,0.006577205026112171,0.3918980976904235,0.28808380394735883,-0.2211247566617533
v2pscomprg,0.2600304982519889,0.46822742774035986,0.29656758381417175,-0.017311843457868487
v2psnatpar,-0.3319959764924487,-0.139784437770449,0.182633475767527,0.027372943086424302
v2pssunpar,0.8011262928049938,0.11726227030052619,-0.08200014049171811,0.04705373975459639
v2ddlexci,0.10956461072266895,0.10065121722819886,0.24284917386127974,0.5041555391260029
v2ddthreci,0.16078616453572409,0.1873095460715778,-0.006952818223107338,0.6236724815593375
v2ddlexrf,0.12581699398565158,0.12043129843072355,0.09877587673766594,0.5289164419677379
v2ddthrerf,0.15723009643583113,0.19958214483864628,-0.11648219426785036,0.6045941838812325
v2ddlexor,0.23280214238719316,0.0499939148057193,0.1507045185396373,0.3781499450961054
v2ddthreor,0.137733108903381,0.037282054509469975,0.08592838716371287,0.4358779730058088
v2ddlexpl,0.05942711024244343,-0.04028282806538283,0.4425574621867465,0.21171763536545724
v2ddthrepl,0.009260760592762134,0.01294369592233837,0.2607418677521782,0.25292418180127074
v2ddyrci,0.07318557017634097,0.13773279423433915,-0.1485562113231455,0.4604236662652717
v2ddyrrf,0.08148315775873832,0.12920712438201176,-0.14647626730411695,0.40024302010895435
v2ddyror,0.03390998839728289,0.06756956463268736,-0.06251466732617995,0.30570737661412273
v2ddyrpl,0.0037736080205290345,-0.014786992278255504,0.025684490055408155,0.11877333123721871
v2ddyrall,0.07598048399299996,0.12814501136265954,-0.1310190793749223,0.5282513503729067
v2exremhsp,0.4137439965097537,0.044370260294463365,-0.045970958726357564,-0.2749546895558752
v2exdfdshs,-0.6450412370783596,-0.029990102390004658,0.029808713822378756,0.012810241537223443
v2exdfcbhs,-0.3854609858339153,-0.369486022555622,0.12703085134156333,0.28181784865653703
v2exdfvths,-0.5931691509114372,-0.33307483769995205,0.10379993800540283,0.2172592363500158
v2exdfdmhs,-0.40936633355084284,-0.4546731643283137,0.12788505291485092,0.31427904066035056
v2exdfpphs,0.5762765760929877,0.33255806416242334,-0.06289419703333725,-0.40782415055087573
v2exhoshog,-0.08128982797782179,-0.29212768280887047,-0.0068494670886025955,0.39193129242704045
v2exagehos,-0.06529437725023984,-0.09434957124225174,0.19378255142551779,-0.38270365533676926
v2ex_elechos,0.1446652117481885,-0.3229552701869402,0.5274578984056602,0.34972155742031086
v2exfemhos,0.2338004893442477,0.19926160883075839,-0.05923778226683553,0.01388564574403328
v2exfxtmhs,-0.013169513354556739,0.20429891583596632,-0.3572341455878766,-0.14564713685155545
v2expathhs,0.24038378230029703,-0.25877429350380626,0.5326200614121467,0.22583909427029475
v2exdeathos,-0.2679936660459249,-0.00030589913800826984,-0.20744102544449433,-0.18478675137454542
v2exdfcbhs_rec,-0.39111158887938646,-0.3859919686347871,0.13549026386133348,0.2608495088973084
v2exfxtmhg,-0.11333835567655877,-0.302723804519758,-0.05449902468610069,0.3827964717458922
v2ex_hogw,0.37377754657209744,0.4248165474832809,-0.11440585035125059,-0.44444616673749315
v2exrescon,0.7389136044805886,0.4413709704272669,-0.05818387431876606,-0.07755510812846031
